,Crash_Year,Crash_Month,Crash_Day,Time_of_Day,Day_of_Week,City_or_Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions (2016+),Speed Limit at Crash Site,Worst Injury in Crash,Party Type,Person Age,Person Gender
1545,2016,January,1,1:00 AM - 2:00 AM,Friday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Fatal injury (K),Motor vehicle driver,DOB invalid,Uncoded & errors
1546,2016,January,1,1:00 AM - 2:00 AM,Friday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1547,2016,February,1,4:00 PM - 5:00 PM,Monday,Wayne County: Wayne,Not intersection crash,Not hit-and-run,Daylight,Clear,45,Suspected serious injury (A),Motor vehicle driver,23,Female
1548,2016,February,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,35,No injury (O),Motor vehicle driver,DOB invalid,Uncoded & errors
1549,2016,February,1,2:00 PM - 3:00 PM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,45,Male
1550,2016,March,1,6:00 PM - 7:00 PM,Tuesday,Wayne County: Southgate,Not intersection crash,Not hit-and-run,Dark lighted,Snow,40,Possible injury (C),Motor vehicle driver,62,Male
1551,2016,March,1,6:00 AM - 7:00 AM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Snow,30,Suspected minor injury (B),Motor vehicle driver,51,Male
1552,2016,March,1,2:00 PM - 3:00 PM,Tuesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Rain,35,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1553,2016,April,1,5:00 PM - 6:00 PM,Friday,Wayne County: Taylor,Not intersection crash,Not hit-and-run,Daylight,Clear,45,Suspected minor injury (B),Motor vehicle driver,50,Male
1554,2016,May,1,12:00 midnight - 1:00 AM,Sunday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Rain,55,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1555,2016,May,1,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Rain,30,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1556,2016,June,1,12:00 noon - 1:00 PM,Wednesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,35,Suspected serious injury (A),Motor vehicle driver,24,Female
1557,2016,June,1,12:00 noon - 1:00 PM,Wednesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,35,Suspected serious injury (A),Motor vehicle driver,47,Female
1558,2016,July,1,9:00 AM - 10:00 AM,Friday,Wayne County: Sumpter Twp.,Intersection crash,Hit-and-run,Daylight,Cloudy,45,No injury (O),Motor vehicle driver,DOB invalid,Uncoded & errors
1559,2016,July,1,10:00 PM - 11:00 PM,Friday,Wayne County: Wyandotte,Intersection crash,Not hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,19,Female
1560,2016,August,1,3:00 PM - 4:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,26,Male
1561,2016,October,1,2:00 PM - 3:00 PM,Saturday,Wayne County: Highland Park,Intersection crash,Not hit-and-run,Daylight,Cloudy,30,Suspected serious injury (A),Motor vehicle driver,48,Male
1562,2016,October,1,2:00 PM - 3:00 PM,Saturday,Wayne County: Westland,Intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,51,Male
1563,2016,October,1,9:00 PM - 10:00 PM,Saturday,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Dark lighted,Rain,25,Suspected minor injury (B),Motor vehicle driver,21,Female
1564,2016,October,1,5:00 AM - 6:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,35,No injury (O),Motor vehicle driver,25,Male
1565,2016,October,1,8:00 AM - 9:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,DOB invalid,Uncoded & errors
1566,2016,October,1,8:00 PM - 9:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Rain,25,No injury (O),Motor vehicle driver,DOB invalid,Uncoded & errors
1567,2016,October,1,7:00 PM - 8:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,30,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1568,2016,November,1,7:00 AM - 8:00 AM,Tuesday,Wayne County: Dearborn,Intersection crash,Hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,DOB invalid,Uncoded & errors
1569,2016,November,1,7:00 PM - 8:00 PM,Tuesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,35,No injury (O),Motor vehicle driver,DOB invalid,Male
1570,2016,December,1,12:00 midnight - 1:00 AM,Thursday,Wayne County: Westland,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,29,Female
1571,2016,January,2,7:00 PM - 8:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,Clear,30,Suspected serious injury (A),Motor vehicle driver,DOB invalid,Uncoded & errors
1572,2016,February,2,7:00 AM - 8:00 AM,Tuesday,Wayne County: Allen Park,Intersection crash,Not hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,55,Female
1573,2016,February,2,12:00 midnight - 1:00 AM,Tuesday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Clear,20,Possible injury (C),Motor vehicle driver,54,Male
1574,2016,February,2,8:00 PM - 9:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Male
1575,2016,March,2,1:00 PM - 2:00 PM,Wednesday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,25,Female
1576,2016,April,2,1:00 AM - 2:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,35,Fatal injury (K),Motor vehicle driver,27,Female
1577,2016,April,2,1:00 AM - 2:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,35,Fatal injury (K),Motor vehicle driver,33,Female
1578,2016,April,2,1:00 PM - 2:00 PM,Saturday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Unknown,Unknown,25,Possible injury (C),Motor vehicle driver,DOB invalid,Uncoded & errors
1579,2016,June,2,10:00 PM - 11:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1580,2016,July,2,11:00 AM - 12:00 noon,Saturday,Wayne County: Brownstown Twp.,Intersection crash,Not hit-and-run,Daylight,Cloudy,50,Suspected minor injury (B),Motor vehicle driver,18,Male
1581,2016,July,2,5:00 PM - 6:00 PM,Saturday,Wayne County: Lincoln Park,Not intersection crash,Not hit-and-run,Daylight,Clear,45,Suspected minor injury (B),Motor vehicle driver,34,Female
1582,2016,July,2,10:00 AM - 11:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,DOB invalid,Male
1583,2016,July,2,5:00 AM - 6:00 AM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Clear,25,Suspected serious injury (A),Motor vehicle driver,DOB invalid,Uncoded & errors
1584,2016,August,2,11:00 PM - 12:00 midnight,Tuesday,Wayne County: Canton Twp.,Intersection crash,Not hit-and-run,Dark unlighted,Clear,55,Suspected serious injury (A),Motor vehicle driver,21,Female
1585,2016,August,2,1:00 PM - 2:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,54,Male
1586,2016,September,2,6:00 PM - 7:00 PM,Friday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,48,Female
1587,2016,September,2,3:00 PM - 4:00 PM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,No injury (O),Motor vehicle driver,54,Female
1588,2016,October,2,7:00 PM - 8:00 PM,Sunday,Wayne County: Hamtramck,Not intersection crash,Hit-and-run,Dark lighted,Clear,25,Suspected serious injury (A),Motor vehicle driver,DOB invalid,Uncoded & errors
1589,2016,October,2,2:00 PM - 3:00 PM,Sunday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,68,Male
1590,2016,November,2,12:00 midnight - 1:00 AM,Wednesday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
1591,2016,December,2,11:00 PM - 12:00 midnight,Friday,Wayne County: Redford Twp.,Not intersection crash,Not hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,39,Male
1592,2016,December,2,11:00 PM - 12:00 midnight,Friday,Wayne County: Redford Twp.,Not intersection crash,Not hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,49,Male
